Tall viser til kolonnenummer:
0=Tid, 1=Lys 
5.41280198097229,31
5.441871881484985,31
5.475051879882813,31
5.515078067779541,30
5.547651052474976,31
5.583795070648193,31
5.615444898605347,32
5.651340961456299,32
5.681342840194702,33
5.714153051376343,31
5.755068063735962,31
5.786772966384888,27
5.825456857681274,34
5.856236934661865,31
5.894685983657837,31
5.933852910995483,30
5.96423602104187,30
5.993479013442993,29
6.027696847915649,27
6.065250873565674,28
6.095000982284546,26
6.136216878890991,22
6.16678786277771,23
6.208334922790527,21
6.244262933731079,22
6.274482011795044,21
6.312635898590088,21
6.342345952987671,20
6.377372980117798,21
6.410594940185547,21
6.447772979736328,22
6.479034900665283,21
6.512414932250977,21
6.554937839508057,21
6.585182905197144,22
6.617218971252441,21
6.654124975204468,20
6.684394836425781,19
6.717051029205322,19
6.75361704826355,21
6.786375999450684,21
6.824939012527466,21
6.857187986373901,20
6.894213914871216,20
6.928870916366577,21
6.966659069061279,20
7.004677057266235,21
7.036677837371826,19
7.072298049926758,21
7.102046012878418,21
7.137515068054199,21
7.175019025802612,20
7.216071844100952,21
7.256788015365601,21
7.283952951431274,21
7.316808938980103,23
7.358341932296753,21
7.394108057022095,19
7.427276849746704,22
7.454488039016724,21
7.490931034088135,19
7.520058870315552,19
7.554082870483398,21
7.584970951080322,21
7.614187002182007,21
7.649708032608032,19
7.678369045257568,23
7.709921836853027,21
7.747671842575073,18
7.783987045288086,21
7.813694000244141,21
7.853891849517822,21
7.885396003723145,23
7.922569036483765,20
7.953582048416138,21
7.987700939178467,19
8.024157047271729,21
8.056591033935547,24
8.093855857849121,21
8.123707056045532,20
8.167664051055908,21
8.207776069641113,18
8.244246959686279,21
8.274214029312134,21
8.314796924591064,19
8.352709054946899,20
8.386473894119263,22
8.417484045028687,20
8.45401406288147,21
8.483568906784058,21
8.513974905014038,21
8.555125951766968,25
8.584794998168945,28
8.617596864700317,25
8.657692909240723,22
8.688070058822632,27
8.724165916442871,32
8.753762006759644,32
8.787258863449097,32
8.826518058776855,36
8.857831001281738,36
8.898582935333252,36
8.942178964614868,36
8.981536865234375,34
9.013438940048218,35
9.046485900878906,31
9.084138870239258,34
9.116445064544678,34
9.147634983062744,33
9.184424877166748,34
9.222641944885254,35
9.256464004516602,35
9.291440010070801,32
9.320452928543091,35
9.356760025024414,34
9.40293288230896,34
9.443646907806396,35
9.486433982849121,34
9.512832880020142,34
9.546478033065796,34
9.584755897521973,33
9.62232494354248,34
9.651526927947998,35
9.684080839157104,31
9.723796844482422,34
9.75725793838501,35
9.792523860931396,34
9.827153921127319,32
9.864385843276978,35
9.896759986877441,34
9.927809953689575,36
